2023-03-17 00:25:16.887510 [INFO   ] [APP] application started
2023-03-17 00:25:16.887814 [INFO   ] [APP] loading configuration from 'BAC-1_FC-3.json'
2023-03-17 00:25:16.888185 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-17 00:25:16.888449 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-17 00:25:16.888482 [INFO   ] [BASE] logging in with teamname='BAC-1_FC-3' and secret='secret'
2023-03-17 00:25:20.341510 [INFO   ] [AUTO] Sending ask: 2 Price: 148000 Volume:50
2023-03-17 00:25:20.341517 [INFO   ] [AUTO] ASK 1
2023-03-17 00:25:20.341529 [INFO   ] [AUTO] Sending bid: 3 Price: 146600 Volume:50
2023-03-17 00:25:20.341530 [INFO   ] [AUTO] BID 1
2023-03-17 00:25:20.341850 [INFO   ] [AUTO] Order status update: 2
2023-03-17 00:25:20.341857 [INFO   ] [AUTO] Order status update: 3
2023-03-17 00:25:20.579253 [INFO   ] [AUTO] Sending ask: 4 Price: 147500 Volume:50
2023-03-17 00:25:20.579259 [INFO   ] [AUTO] ASK 3
2023-03-17 00:25:20.579878 [INFO   ] [AUTO] Order status update: 2
2023-03-17 00:25:20.579900 [INFO   ] [AUTO] Order status update: 4
2023-03-17 00:25:20.858647 [INFO   ] [AUTO] Cancelling: 3 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-17 00:25:20.858691 [INFO   ] [AUTO] Sending ask: 5 Price: 147400 Volume:50
2023-03-17 00:25:20.858694 [INFO   ] [AUTO] ASK 3
2023-03-17 00:25:20.858824 [INFO   ] [AUTO] Order status update: 3
2023-03-17 00:25:20.858995 [INFO   ] [AUTO] Order status update: 4
2023-03-17 00:25:20.859052 [INFO   ] [AUTO] Order status update: 5
2023-03-17 00:25:21.044473 [INFO   ] [AUTO] Sending bid: 6 Price: 146500 Volume:50
2023-03-17 00:25:21.044481 [INFO   ] [AUTO] BID 1
