2023-03-17 00:25:17.416713 [INFO   ] [APP] application started
2023-03-17 00:25:17.417074 [INFO   ] [APP] loading configuration from 'BAC-1_FC-4_2.json'
2023-03-17 00:25:17.417250 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-17 00:25:17.417400 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-17 00:25:17.417411 [INFO   ] [BASE] logging in with teamname='BAC-1_FC-4_2' and secret='secret'
2023-03-17 00:25:20.341458 [INFO   ] [AUTO] Sending ask: 2 Price: 148300 Volume:50
2023-03-17 00:25:20.341467 [INFO   ] [AUTO] ASK 1
2023-03-17 00:25:20.341479 [INFO   ] [AUTO] Sending bid: 3 Price: 146600 Volume:50
2023-03-17 00:25:20.341480 [INFO   ] [AUTO] BID 1
2023-03-17 00:25:20.341764 [INFO   ] [AUTO] Order status update: 2
2023-03-17 00:25:20.341768 [INFO   ] [AUTO] Order status update: 3
2023-03-17 00:25:20.579232 [INFO   ] [AUTO] Cancelling: 3 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-17 00:25:20.579281 [INFO   ] [AUTO] Sending ask: 4 Price: 147500 Volume:50
2023-03-17 00:25:20.579284 [INFO   ] [AUTO] ASK 3
2023-03-17 00:25:20.579535 [INFO   ] [AUTO] Order status update: 3
2023-03-17 00:25:20.579590 [INFO   ] [AUTO] Order status update: 2
2023-03-17 00:25:20.579667 [INFO   ] [AUTO] Order status update: 4
2023-03-17 00:25:20.858669 [INFO   ] [AUTO] Cancelling: 0 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-17 00:25:20.858711 [INFO   ] [AUTO] Sending bid: 5 Price: 146400 Volume:50
2023-03-17 00:25:20.858714 [INFO   ] [AUTO] BID 1
2023-03-17 00:25:20.859076 [INFO   ] [AUTO] Order status update: 5
2023-03-17 00:25:21.044472 [INFO   ] [AUTO] Sending bid: 6 Price: 146500 Volume:50
2023-03-17 00:25:21.044481 [INFO   ] [AUTO] BID 3: 146400
2023-03-17 00:25:21.044708 [INFO   ] [AUTO] Order status update: 5
2023-03-17 00:25:21.044742 [INFO   ] [AUTO] Order status update: 6
2023-03-17 00:25:21.314014 [INFO   ] [AUTO] Sending bid: 7 Price: 146600 Volume:50
2023-03-17 00:25:21.314020 [INFO   ] [AUTO] BID 3: 146500
2023-03-17 00:25:21.315211 [INFO   ] [AUTO] Order status update: 6
2023-03-17 00:25:21.315248 [INFO   ] [AUTO] Order status update: 7
2023-03-17 00:25:21.570822 [INFO   ] [AUTO] Cancelling: 4 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-17 00:25:21.571221 [INFO   ] [AUTO] Order status update: 4
2023-03-17 00:25:21.801486 [INFO   ] [AUTO] Sending ask: 8 Price: 147500 Volume:50
2023-03-17 00:25:21.801493 [INFO   ] [AUTO] ASK 1
