Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
5e-06,Team666_666888,Tick,0,0,0,0,,,0,0,0,OK
5e-06,TradeSome_26830,Tick,0,0,0,0,,,0,0,0,OK
5e-06,MelbourneMarkets_150344,Tick,0,0,0,0,,,0,0,0,OK
5e-06,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,,,0,0,0,OK
5e-06,dpgobrrr_10419,Tick,0,0,0,0,,,0,0,0,OK
5e-06,hansolo_2159,Tick,0,0,0,0,,,0,0,0,OK
5e-06,EagleOne_660000,Tick,0,0,0,0,,,0,0,0,OK
5e-06,LeoPowder_123456,Tick,0,0,0,0,,,0,0,0,OK
0.283207,Team666_666888,Tick,0,0,0,0,126500,,0,0,0,OK
0.283207,TradeSome_26830,Tick,0,0,0,0,126500,,0,0,0,OK
0.283207,MelbourneMarkets_150344,Tick,0,1,-1,1,126500,,-13,13,13,OK
0.283207,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126500,,0,0,0,OK
0.283207,dpgobrrr_10419,Tick,0,0,0,0,126500,,0,0,0,OK
0.283207,hansolo_2159,Tick,0,0,0,0,126500,,0,0,0,OK
0.283207,EagleOne_660000,Tick,0,0,0,0,126500,,0,0,0,OK
0.283207,LeoPowder_123456,Tick,0,0,0,0,126500,,0,0,0,OK
0.461669,Team666_666888,Tick,0,0,0,0,126600,,0,0,0,OK
0.461669,TradeSome_26830,Tick,0,0,0,0,126600,,0,0,0,OK
0.461669,MelbourneMarkets_150344,Tick,0,1,-1,1,126600,,-13,13,13,OK
0.461669,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126600,,0,0,0,OK
0.461669,dpgobrrr_10419,Tick,0,0,0,0,126600,,0,0,0,OK
0.461669,hansolo_2159,Tick,0,14,-14,0,126600,,-177,1768377,1768377,OK
0.461669,EagleOne_660000,Tick,14,0,14,-14,126600,,354,-354,-354,OK
0.461669,LeoPowder_123456,Tick,0,10,-10,10,126600,,-127,1127,1127,OK
0.767094,Team666_666888,Tick,0,0,0,0,126600,,0,0,0,OK
0.767094,TradeSome_26830,Tick,0,0,0,0,126600,,0,0,0,OK
0.767094,MelbourneMarkets_150344,Tick,0,1,-1,1,126600,,-13,13,13,OK
0.767094,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126600,,0,0,0,OK
0.767094,dpgobrrr_10419,Tick,0,0,0,0,126600,,0,0,0,OK
0.767094,hansolo_2159,Tick,0,14,-14,0,126600,,-177,1768377,1768377,OK
0.767094,EagleOne_660000,Tick,14,0,14,-14,126600,,354,-354,-354,OK
0.767094,LeoPowder_123456,Tick,0,10,-10,10,126600,,-127,1127,1127,OK
0.983346,Team666_666888,Tick,0,0,0,0,126700,,0,0,0,OK
0.983346,TradeSome_26830,Tick,0,0,0,0,126700,,0,0,0,OK
0.983346,MelbourneMarkets_150344,Tick,0,1,-1,1,126700,,-13,13,13,OK
0.983346,JVsMedallionToTheMoonFund_16,Tick,0,0,0,0,126700,,0,0,0,OK
0.983346,dpgobrrr_10419,Tick,0,0,0,0,126700,,0,0,0,OK
0.983346,hansolo_2159,Tick,0,14,-14,0,126700,,-177,1768377,1768377,OK
0.983346,EagleOne_660000,Tick,24,0,24,-24,126700,,607,-2607,-2607,OK
0.983346,LeoPowder_123456,Tick,0,20,-20,20,126700,,-254,1254,1254,OK
