2023-03-13 01:34:50.000010 [INFO   ] [APP] application started
2023-03-13 01:34:50.000025 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-13 01:34:50.000470 [INFO   ] [CON] connecting to: 172.27.0.2:12345
2023-03-13 01:34:50.000570 [INFO   ] [CON] connected successfully to: 172.27.0.2:12345
2023-03-13 01:34:50.000586 [INFO   ] [BASE] logging in with teamname='MelbourneMarkets_150344' and secret='3ccad3e7bb4844f4bcb4721685ad8245'
2023-03-13 01:35:08.310697 [INFO   ] [AUTO] ASK 1
2023-03-13 01:35:08.310726 [INFO   ] [AUTO] Max ask volume: 50
2023-03-13 01:35:08.310735 [INFO   ] [AUTO] Sending ask: 2 Price: 126500 Volume:50
2023-03-13 01:35:08.310818 [INFO   ] [AUTO] BID 1
2023-03-13 01:35:08.310827 [INFO   ] [AUTO] Max bid volume: 50
2023-03-13 01:35:08.310834 [INFO   ] [AUTO] Sending bid: 3 Price: 125200 Volume:50
2023-03-13 01:35:08.312188 [INFO   ] [AUTO] Order status update: 2
2023-03-13 01:35:08.312525 [INFO   ] [AUTO] Order status update: 3
2023-03-13 01:35:08.581299 [INFO   ] [AUTO] Cancelling: 2 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 01:35:08.581361 [INFO   ] [AUTO] BID 3: 126200
2023-03-13 01:35:08.581369 [INFO   ] [AUTO] Max bid volume: 50
2023-03-13 01:35:08.581376 [INFO   ] [AUTO] Sending bid: 4 Price: 126200 Volume:50
2023-03-13 01:35:08.582203 [INFO   ] [AUTO] Order status update: 2
2023-03-13 01:35:08.582566 [INFO   ] [AUTO] Order status update: 3
2023-03-13 01:35:08.582634 [INFO   ] [AUTO] Order status update: 4
2023-03-13 01:35:08.771993 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 01:35:08.772022 [INFO   ] [AUTO] ASK 1
2023-03-13 01:35:08.772029 [INFO   ] [AUTO] Max ask volume: 50
2023-03-13 01:35:08.772036 [INFO   ] [AUTO] Sending ask: 5 Price: 126600 Volume:50
2023-03-13 01:35:08.773137 [INFO   ] [AUTO] Order status update: 5
2023-03-13 01:35:09.020095 [INFO   ] [AUTO] Cancelling: 5 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 01:35:09.020147 [INFO   ] [AUTO] BID 3: 126300
2023-03-13 01:35:09.020163 [INFO   ] [AUTO] Max bid volume: 50
2023-03-13 01:35:09.020170 [INFO   ] [AUTO] Sending bid: 6 Price: 126400 Volume:50
2023-03-13 01:35:09.020695 [INFO   ] [AUTO] Order status update: 5
2023-03-13 01:35:09.020908 [INFO   ] [AUTO] Order status update: 4
2023-03-13 01:35:09.020977 [INFO   ] [AUTO] Order status update: 6
2023-03-13 01:35:09.324043 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 01:35:09.324089 [INFO   ] [AUTO] ASK 1
2023-03-13 01:35:09.324096 [INFO   ] [AUTO] Max ask volume: 50
2023-03-13 01:35:09.324103 [INFO   ] [AUTO] Sending ask: 7 Price: 126700 Volume:50
2023-03-13 01:35:09.324985 [INFO   ] [AUTO] Order status update: 7
2023-03-13 01:35:09.573639 [INFO   ] [AUTO] Cancelling: 7 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 01:35:09.573677 [INFO   ] [AUTO] BID 3: 126500
2023-03-13 01:35:09.573684 [INFO   ] [AUTO] Max bid volume: 50
2023-03-13 01:35:09.573691 [INFO   ] [AUTO] Sending bid: 8 Price: 126500 Volume:50
2023-03-13 01:35:09.574734 [INFO   ] [AUTO] Order status update: 7
2023-03-13 01:35:09.574764 [INFO   ] [AUTO] Order status update: 6
2023-03-13 01:35:09.574809 [INFO   ] [AUTO] Order status update: 8
2023-03-13 01:35:09.838248 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 01:35:09.838289 [INFO   ] [AUTO] ASK 1
2023-03-13 01:35:09.838298 [INFO   ] [AUTO] Max ask volume: 50
