2023-03-16 23:54:34.875811 [INFO   ] [APP] application started
2023-03-16 23:54:34.876134 [INFO   ] [APP] loading configuration from 'good-vol-3.json'
2023-03-16 23:54:34.876631 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-16 23:54:34.876888 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-16 23:54:34.876901 [INFO   ] [BASE] logging in with teamname='good-vol-3' and secret='secret'
2023-03-16 23:54:38.273276 [INFO   ] [AUTO] Sending ask: 2 Price: 147200 Volume:50
2023-03-16 23:54:38.273283 [INFO   ] [AUTO] ASK 1
2023-03-16 23:54:38.273296 [INFO   ] [AUTO] Sending bid: 3 Price: 145900 Volume:50
2023-03-16 23:54:38.273297 [INFO   ] [AUTO] BID 1
2023-03-16 23:54:38.273535 [INFO   ] [AUTO] Order status update: 2
2023-03-16 23:54:38.273632 [INFO   ] [AUTO] Order status update: 3
2023-03-16 23:54:38.552162 [INFO   ] [AUTO] Sending bid: 4 Price: 146700 Volume:50
2023-03-16 23:54:38.552168 [INFO   ] [AUTO] BID 3: 146600
2023-03-16 23:54:38.552411 [INFO   ] [AUTO] Order status update: 3
2023-03-16 23:54:38.552431 [INFO   ] [AUTO] Order status update: 4
2023-03-16 23:54:39.050208 [INFO   ] [AUTO] Sending bid: 5 Price: 146800 Volume:50
2023-03-16 23:54:39.050215 [INFO   ] [AUTO] BID 3: 146700
2023-03-16 23:54:39.050369 [INFO   ] [AUTO] order 2 filled for 50 lots at $147200 cents
2023-03-16 23:54:39.050389 [INFO   ] [AUTO] Order status update: 2
2023-03-16 23:54:39.050733 [INFO   ] [AUTO] Order status update: 4
2023-03-16 23:54:39.050759 [INFO   ] [AUTO] Order status update: 5
2023-03-16 23:54:39.292979 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-16 23:54:39.293006 [INFO   ] [AUTO] Sending ask: 6 Price: 147400 Volume:25
2023-03-16 23:54:39.293009 [INFO   ] [AUTO] ASK 1
2023-03-16 23:54:39.293016 [INFO   ] [AUTO] Sending bid: 7 Price: 146900 Volume:75
2023-03-16 23:54:39.293018 [INFO   ] [AUTO] BID 3: 146800
2023-03-16 23:54:39.293877 [INFO   ] [AUTO] Order status update: 6
