2023-03-13 22:08:19.545647 [INFO   ] [APP] application started
2023-03-13 22:08:19.556290 [INFO   ] [APP] loading configuration from 'mm-one-order-half-position-limits-4.json'
2023-03-13 22:08:19.556562 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-13 22:08:19.556735 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-13 22:08:19.556750 [INFO   ] [BASE] logging in with teamname='mm-one-order-half-position-limits-4' and secret='secret'
2023-03-13 22:08:23.496124 [INFO   ] [AUTO] Sending ask: 2 Price: 113600 Volume:50
2023-03-13 22:08:23.496130 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:23.496135 [INFO   ] [AUTO] Sending bid: 3 Price: 112300 Volume:50
2023-03-13 22:08:23.496136 [INFO   ] [AUTO] BID 1
2023-03-13 22:08:23.496528 [INFO   ] [AUTO] Order status update: 2
2023-03-13 22:08:23.496531 [INFO   ] [AUTO] Order status update: 3
2023-03-13 22:08:23.773089 [INFO   ] [AUTO] Sending bid: 4 Price: 113200 Volume:50
2023-03-13 22:08:23.773097 [INFO   ] [AUTO] BID 3: 113300
2023-03-13 22:08:23.773854 [INFO   ] [AUTO] Order status update: 3
2023-03-13 22:08:23.773898 [INFO   ] [AUTO] Order status update: 4
2023-03-13 22:08:23.970210 [INFO   ] [AUTO] Cancelling: 2 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:23.970280 [INFO   ] [AUTO] Sending bid: 5 Price: 113400 Volume:50
2023-03-13 22:08:23.970283 [INFO   ] [AUTO] BID 3: 113300
2023-03-13 22:08:23.971593 [INFO   ] [AUTO] Order status update: 2
2023-03-13 22:08:23.971612 [INFO   ] [AUTO] Order status update: 4
2023-03-13 22:08:23.971638 [INFO   ] [AUTO] Order status update: 5
2023-03-13 22:08:24.196373 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:24.196437 [INFO   ] [AUTO] Sending ask: 6 Price: 114000 Volume:50
2023-03-13 22:08:24.196440 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:24.196442 [INFO   ] [AUTO] Sending bid: 7 Price: 113500 Volume:50
2023-03-13 22:08:24.196443 [INFO   ] [AUTO] BID 3: 113400
2023-03-13 22:08:24.197060 [INFO   ] [AUTO] Order status update: 6
2023-03-13 22:08:24.197084 [INFO   ] [AUTO] Order status update: 5
2023-03-13 22:08:24.197103 [INFO   ] [AUTO] Order status update: 7
2023-03-13 22:08:24.505287 [INFO   ] [AUTO] Sending bid: 8 Price: 113600 Volume:50
2023-03-13 22:08:24.505292 [INFO   ] [AUTO] BID 3: 113500
2023-03-13 22:08:24.505778 [INFO   ] [AUTO] Order status update: 7
2023-03-13 22:08:24.505825 [INFO   ] [AUTO] Order status update: 8
2023-03-13 22:08:24.774715 [INFO   ] [AUTO] Cancelling: 6 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:24.774778 [INFO   ] [AUTO] Sending bid: 9 Price: 113700 Volume:50
2023-03-13 22:08:24.774782 [INFO   ] [AUTO] BID 3: 113600
2023-03-13 22:08:24.775033 [INFO   ] [AUTO] Order status update: 6
2023-03-13 22:08:24.775079 [INFO   ] [AUTO] Order status update: 8
2023-03-13 22:08:24.775189 [INFO   ] [AUTO] Order status update: 9
2023-03-13 22:08:24.991057 [INFO   ] [AUTO] Cancelling: 9 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:24.991132 [INFO   ] [AUTO] Sending ask: 10 Price: 114000 Volume:50
2023-03-13 22:08:24.991137 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:24.991681 [INFO   ] [AUTO] Order status update: 9
2023-03-13 22:08:24.991704 [INFO   ] [AUTO] Order status update: 10
2023-03-13 22:08:25.286436 [INFO   ] [AUTO] Cancelling: 0 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:25.286484 [INFO   ] [AUTO] Sending bid: 11 Price: 113600 Volume:50
2023-03-13 22:08:25.286487 [INFO   ] [AUTO] BID 1
2023-03-13 22:08:25.286816 [INFO   ] [AUTO] Order status update: 11
2023-03-13 22:08:25.754559 [INFO   ] [AUTO] Cancelling: 10 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:25.754614 [INFO   ] [AUTO] Sending bid: 12 Price: 113700 Volume:50
2023-03-13 22:08:25.754617 [INFO   ] [AUTO] BID 3: 113600
2023-03-13 22:08:25.754740 [INFO   ] [AUTO] Order status update: 10
2023-03-13 22:08:25.754743 [INFO   ] [AUTO] Order status update: 11
2023-03-13 22:08:25.755023 [INFO   ] [AUTO] Order status update: 12
2023-03-13 22:08:26.035463 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:26.035510 [INFO   ] [AUTO] Sending ask: 13 Price: 114200 Volume:50
2023-03-13 22:08:26.035514 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:26.035518 [INFO   ] [AUTO] Sending bid: 14 Price: 113800 Volume:50
2023-03-13 22:08:26.035519 [INFO   ] [AUTO] BID 3: 113700
2023-03-13 22:08:26.035693 [INFO   ] [AUTO] Order status update: 13
2023-03-13 22:08:26.035926 [INFO   ] [AUTO] Order status update: 12
2023-03-13 22:08:26.035965 [INFO   ] [AUTO] Order status update: 14
2023-03-13 22:08:26.208071 [INFO   ] [AUTO] Cancelling: 13 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:26.208412 [INFO   ] [AUTO] Order status update: 13
2023-03-13 22:08:26.533222 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:26.533274 [INFO   ] [AUTO] Sending ask: 15 Price: 114300 Volume:50
2023-03-13 22:08:26.533279 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:26.533282 [INFO   ] [AUTO] Sending bid: 16 Price: 113900 Volume:50
2023-03-13 22:08:26.533283 [INFO   ] [AUTO] BID 3: 113800
2023-03-13 22:08:26.534915 [INFO   ] [AUTO] Order status update: 15
2023-03-13 22:08:26.535274 [INFO   ] [AUTO] Order status update: 14
2023-03-13 22:08:26.535336 [INFO   ] [AUTO] Order status update: 16
2023-03-13 22:08:26.791874 [INFO   ] [AUTO] Cancelling: 15 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:26.791945 [INFO   ] [AUTO] Sending bid: 17 Price: 114000 Volume:50
2023-03-13 22:08:26.791948 [INFO   ] [AUTO] BID 3: 113900
2023-03-13 22:08:26.792373 [INFO   ] [AUTO] Order status update: 15
2023-03-13 22:08:26.792393 [INFO   ] [AUTO] Order status update: 16
2023-03-13 22:08:26.792421 [INFO   ] [AUTO] Order status update: 17
2023-03-13 22:08:27.037740 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:27.037810 [INFO   ] [AUTO] Sending ask: 18 Price: 114900 Volume:50
2023-03-13 22:08:27.037814 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:27.037817 [INFO   ] [AUTO] Sending bid: 19 Price: 114100 Volume:50
2023-03-13 22:08:27.037818 [INFO   ] [AUTO] BID 3: 114000
2023-03-13 22:08:27.039141 [INFO   ] [AUTO] Order status update: 18
2023-03-13 22:08:27.039161 [INFO   ] [AUTO] Order status update: 17
2023-03-13 22:08:27.039181 [INFO   ] [AUTO] Order status update: 19
2023-03-13 22:08:27.199149 [INFO   ] [AUTO] Cancelling: 18 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:27.199214 [INFO   ] [AUTO] Sending bid: 20 Price: 114200 Volume:50
2023-03-13 22:08:27.199217 [INFO   ] [AUTO] BID 3: 114100
2023-03-13 22:08:27.199472 [INFO   ] [AUTO] Order status update: 18
2023-03-13 22:08:27.199501 [INFO   ] [AUTO] Order status update: 19
2023-03-13 22:08:27.199982 [INFO   ] [AUTO] Order status update: 20
2023-03-13 22:08:27.497509 [INFO   ] [AUTO] Sending ask: 21 Price: 114900 Volume:50
2023-03-13 22:08:27.497516 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:27.497519 [INFO   ] [AUTO] Sending bid: 22 Price: 114300 Volume:50
2023-03-13 22:08:27.497520 [INFO   ] [AUTO] BID 3: 114200
2023-03-13 22:08:27.497786 [INFO   ] [AUTO] Order status update: 21
2023-03-13 22:08:27.497794 [INFO   ] [AUTO] Order status update: 20
2023-03-13 22:08:27.497795 [INFO   ] [AUTO] Order status update: 22
2023-03-13 22:08:27.718287 [INFO   ] [AUTO] Cancelling: 21 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:27.718401 [INFO   ] [AUTO] Sending bid: 23 Price: 114400 Volume:50
2023-03-13 22:08:27.718407 [INFO   ] [AUTO] BID 3: 114300
2023-03-13 22:08:27.719142 [INFO   ] [AUTO] Order status update: 21
2023-03-13 22:08:27.719163 [INFO   ] [AUTO] Order status update: 22
2023-03-13 22:08:27.719188 [INFO   ] [AUTO] Order status update: 23
2023-03-13 22:08:27.994970 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:27.995064 [INFO   ] [AUTO] Sending ask: 24 Price: 115000 Volume:50
2023-03-13 22:08:27.995068 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:27.995070 [INFO   ] [AUTO] Sending bid: 25 Price: 114500 Volume:50
2023-03-13 22:08:27.995071 [INFO   ] [AUTO] BID 3: 114400
2023-03-13 22:08:27.995936 [INFO   ] [AUTO] Order status update: 24
2023-03-13 22:08:27.995954 [INFO   ] [AUTO] Order status update: 23
2023-03-13 22:08:27.995979 [INFO   ] [AUTO] Order status update: 25
2023-03-13 22:08:28.251852 [INFO   ] [AUTO] Sending bid: 26 Price: 114600 Volume:50
2023-03-13 22:08:28.251858 [INFO   ] [AUTO] BID 3: 114500
2023-03-13 22:08:28.252376 [INFO   ] [AUTO] Order status update: 25
2023-03-13 22:08:28.252412 [INFO   ] [AUTO] Order status update: 26
2023-03-13 22:08:28.543701 [INFO   ] [AUTO] Cancelling: 24 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:28.543786 [INFO   ] [AUTO] Sending bid: 27 Price: 114700 Volume:50
2023-03-13 22:08:28.543789 [INFO   ] [AUTO] BID 3: 114600
2023-03-13 22:08:28.545312 [INFO   ] [AUTO] Order status update: 24
2023-03-13 22:08:28.545331 [INFO   ] [AUTO] Order status update: 26
2023-03-13 22:08:28.545336 [INFO   ] [AUTO] Order status update: 27
2023-03-13 22:08:28.715299 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:28.715353 [INFO   ] [AUTO] Sending ask: 28 Price: 115100 Volume:50
2023-03-13 22:08:28.715357 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:28.715644 [INFO   ] [AUTO] Order status update: 28
2023-03-13 22:08:28.999797 [INFO   ] [AUTO] Cancelling: 28 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:28.999886 [INFO   ] [AUTO] Sending bid: 29 Price: 114800 Volume:50
2023-03-13 22:08:28.999891 [INFO   ] [AUTO] BID 3: 114700
2023-03-13 22:08:29.000323 [INFO   ] [AUTO] Order status update: 28
2023-03-13 22:08:29.000352 [INFO   ] [AUTO] Order status update: 27
2023-03-13 22:08:29.000355 [INFO   ] [AUTO] Order status update: 29
2023-03-13 22:08:29.231054 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:29.231138 [INFO   ] [AUTO] Sending ask: 30 Price: 115400 Volume:50
2023-03-13 22:08:29.231141 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:29.231144 [INFO   ] [AUTO] Sending bid: 31 Price: 114900 Volume:50
2023-03-13 22:08:29.231145 [INFO   ] [AUTO] BID 3: 114800
2023-03-13 22:08:29.232140 [INFO   ] [AUTO] Order status update: 30
2023-03-13 22:08:29.232174 [INFO   ] [AUTO] Order status update: 29
2023-03-13 22:08:29.232178 [INFO   ] [AUTO] Order status update: 31
2023-03-13 22:08:29.520853 [INFO   ] [AUTO] Sending bid: 32 Price: 115000 Volume:50
2023-03-13 22:08:29.520858 [INFO   ] [AUTO] BID 3: 114900
2023-03-13 22:08:29.521267 [INFO   ] [AUTO] Order status update: 31
2023-03-13 22:08:29.521320 [INFO   ] [AUTO] Order status update: 32
2023-03-13 22:08:29.992247 [INFO   ] [AUTO] Cancelling: 30 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:29.992321 [INFO   ] [AUTO] Sending bid: 33 Price: 115100 Volume:50
2023-03-13 22:08:29.992324 [INFO   ] [AUTO] BID 3: 115000
2023-03-13 22:08:29.992479 [INFO   ] [AUTO] Order status update: 30
2023-03-13 22:08:29.992506 [INFO   ] [AUTO] Order status update: 32
2023-03-13 22:08:29.993041 [INFO   ] [AUTO] Order status update: 33
2023-03-13 22:08:30.219136 [INFO   ] [AUTO] Cancelling: 33 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:30.219193 [INFO   ] [AUTO] Sending ask: 34 Price: 115300 Volume:50
2023-03-13 22:08:30.219197 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:30.219312 [INFO   ] [AUTO] Order status update: 33
2023-03-13 22:08:30.219848 [INFO   ] [AUTO] Order status update: 34
2023-03-13 22:08:30.503663 [INFO   ] [AUTO] Cancelling: 0 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:30.503716 [INFO   ] [AUTO] Sending bid: 35 Price: 115000 Volume:50
2023-03-13 22:08:30.503719 [INFO   ] [AUTO] BID 1
2023-03-13 22:08:30.503940 [INFO   ] [AUTO] Order status update: 35
2023-03-13 22:08:30.963532 [INFO   ] [AUTO] Cancelling: 34 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:30.964042 [INFO   ] [AUTO] Order status update: 34
2023-03-13 22:08:31.280621 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:31.280671 [INFO   ] [AUTO] Sending ask: 36 Price: 115400 Volume:50
2023-03-13 22:08:31.280674 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:31.280677 [INFO   ] [AUTO] Sending bid: 37 Price: 115100 Volume:50
2023-03-13 22:08:31.280678 [INFO   ] [AUTO] BID 3: 115000
2023-03-13 22:08:31.280845 [INFO   ] [AUTO] Order status update: 36
2023-03-13 22:08:31.280870 [INFO   ] [AUTO] Order status update: 35
2023-03-13 22:08:31.280956 [INFO   ] [AUTO] Order status update: 37
2023-03-13 22:08:31.485838 [INFO   ] [AUTO] Cancelling: 36 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:31.485898 [INFO   ] [AUTO] Sending bid: 38 Price: 115200 Volume:50
2023-03-13 22:08:31.485901 [INFO   ] [AUTO] BID 3: 115100
2023-03-13 22:08:31.486551 [INFO   ] [AUTO] Order status update: 36
2023-03-13 22:08:31.486571 [INFO   ] [AUTO] Order status update: 37
2023-03-13 22:08:31.486595 [INFO   ] [AUTO] Order status update: 38
2023-03-13 22:08:31.795361 [INFO   ] [AUTO] Cancelling: 38 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:31.795409 [INFO   ] [AUTO] Sending ask: 39 Price: 115500 Volume:50
2023-03-13 22:08:31.795413 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:31.795582 [INFO   ] [AUTO] Order status update: 38
2023-03-13 22:08:31.795659 [INFO   ] [AUTO] Order status update: 39
2023-03-13 22:08:32.041525 [INFO   ] [AUTO] Cancelling: 0 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:32.041584 [INFO   ] [AUTO] Sending ask: 40 Price: 115400 Volume:50
2023-03-13 22:08:32.041588 [INFO   ] [AUTO] ASK 3
2023-03-13 22:08:32.041591 [INFO   ] [AUTO] Sending bid: 41 Price: 115000 Volume:50
2023-03-13 22:08:32.041593 [INFO   ] [AUTO] BID 1
2023-03-13 22:08:32.041757 [INFO   ] [AUTO] Order status update: 39
2023-03-13 22:08:32.042079 [INFO   ] [AUTO] Order status update: 40
2023-03-13 22:08:32.042127 [INFO   ] [AUTO] Order status update: 41
2023-03-13 22:08:32.257996 [INFO   ] [AUTO] Cancelling: 41 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:32.258071 [INFO   ] [AUTO] Sending ask: 42 Price: 115300 Volume:50
2023-03-13 22:08:32.258074 [INFO   ] [AUTO] ASK 3
2023-03-13 22:08:32.258276 [INFO   ] [AUTO] Order status update: 41
2023-03-13 22:08:32.258373 [INFO   ] [AUTO] Order status update: 40
2023-03-13 22:08:32.258713 [INFO   ] [AUTO] Order status update: 42
2023-03-13 22:08:32.502434 [INFO   ] [AUTO] Cancelling: 0 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:32.502501 [INFO   ] [AUTO] Sending ask: 43 Price: 115200 Volume:50
2023-03-13 22:08:32.502505 [INFO   ] [AUTO] ASK 3
2023-03-13 22:08:32.502507 [INFO   ] [AUTO] Sending bid: 44 Price: 114700 Volume:50
2023-03-13 22:08:32.502508 [INFO   ] [AUTO] BID 1
2023-03-13 22:08:32.503070 [INFO   ] [AUTO] Order status update: 42
2023-03-13 22:08:32.503680 [INFO   ] [AUTO] Order status update: 43
2023-03-13 22:08:32.503707 [INFO   ] [AUTO] Order status update: 44
2023-03-13 22:08:32.713090 [INFO   ] [AUTO] Cancelling: 43 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:32.713148 [INFO   ] [AUTO] Sending bid: 45 Price: 114800 Volume:50
2023-03-13 22:08:32.713150 [INFO   ] [AUTO] BID 3: 114700
2023-03-13 22:08:32.713665 [INFO   ] [AUTO] Order status update: 43
2023-03-13 22:08:32.713689 [INFO   ] [AUTO] Order status update: 44
2023-03-13 22:08:32.713726 [INFO   ] [AUTO] Order status update: 45
2023-03-13 22:08:32.980019 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:32.980095 [INFO   ] [AUTO] Sending ask: 46 Price: 115400 Volume:50
2023-03-13 22:08:32.980098 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:32.980102 [INFO   ] [AUTO] Sending bid: 47 Price: 114900 Volume:50
2023-03-13 22:08:32.980103 [INFO   ] [AUTO] BID 3: 114800
2023-03-13 22:08:32.980361 [INFO   ] [AUTO] Order status update: 46
2023-03-13 22:08:32.980455 [INFO   ] [AUTO] Order status update: 45
2023-03-13 22:08:32.980535 [INFO   ] [AUTO] Order status update: 47
2023-03-13 22:08:33.454793 [INFO   ] [AUTO] Sending ask: 48 Price: 115300 Volume:50
2023-03-13 22:08:33.454798 [INFO   ] [AUTO] ASK 3
2023-03-13 22:08:33.455326 [INFO   ] [AUTO] Order status update: 46
2023-03-13 22:08:33.455348 [INFO   ] [AUTO] Order status update: 48
2023-03-13 22:08:34.254514 [INFO   ] [AUTO] Cancelling: 48 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:34.254588 [INFO   ] [AUTO] Sending bid: 49 Price: 115000 Volume:50
2023-03-13 22:08:34.254592 [INFO   ] [AUTO] BID 3: 114900
2023-03-13 22:08:34.254756 [INFO   ] [AUTO] Order status update: 48
2023-03-13 22:08:34.254760 [INFO   ] [AUTO] Order status update: 47
2023-03-13 22:08:34.255247 [INFO   ] [AUTO] Order status update: 49
2023-03-13 22:08:34.479909 [INFO   ] [AUTO] Cancelling: 49 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:34.479988 [INFO   ] [AUTO] Sending ask: 50 Price: 115300 Volume:50
2023-03-13 22:08:34.479990 [INFO   ] [AUTO] ASK 1
2023-03-13 22:08:34.480344 [INFO   ] [AUTO] Order status update: 49
2023-03-13 22:08:34.480387 [INFO   ] [AUTO] Order status update: 50
2023-03-13 22:08:34.794274 [INFO   ] [AUTO] Cancelling: 0 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:34.794353 [INFO   ] [AUTO] Sending bid: 51 Price: 114900 Volume:50
2023-03-13 22:08:34.794366 [INFO   ] [AUTO] BID 1
2023-03-13 22:08:34.794586 [INFO   ] [AUTO] Order status update: 51
2023-03-13 22:08:35.014935 [INFO   ] [AUTO] Cancelling: 51 We have a bid and there is future id and our bid is above the futures bid (bad) -> cancel our bid
2023-03-13 22:08:35.014995 [INFO   ] [AUTO] Sending ask: 52 Price: 115200 Volume:50
2023-03-13 22:08:35.014998 [INFO   ] [AUTO] ASK 3
2023-03-13 22:08:35.015862 [INFO   ] [AUTO] Order status update: 51
2023-03-13 22:08:35.015887 [INFO   ] [AUTO] Order status update: 50
2023-03-13 22:08:35.015908 [INFO   ] [AUTO] Order status update: 52
2023-03-13 22:08:35.294219 [INFO   ] [AUTO] Sending bid: 53 Price: 114900 Volume:50
2023-03-13 22:08:35.294225 [INFO   ] [AUTO] BID 1
2023-03-13 22:08:35.294622 [INFO   ] [AUTO] Order status update: 53
2023-03-13 22:08:35.784022 [INFO   ] [AUTO] Cancelling: 52 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:35.784114 [INFO   ] [AUTO] Sending bid: 54 Price: 115000 Volume:50
2023-03-13 22:08:35.784118 [INFO   ] [AUTO] BID 3: 114900
2023-03-13 22:08:35.784979 [INFO   ] [AUTO] Order status update: 52
2023-03-13 22:08:35.784983 [INFO   ] [AUTO] Order status update: 53
2023-03-13 22:08:35.785034 [INFO   ] [AUTO] Order status update: 54
2023-03-13 22:08:35.964804 [INFO   ] [AUTO] Cancelling: 0 We have an ask and there is future ask and our ask is below the futures ask (bad) -> cancel our ask
2023-03-13 22:08:35.964910 [INFO   ] [AUTO] Sending ask: 55 Price: 115500 Volume:50
2023-03-13 22:08:35.964913 [INFO   ] [AUTO] ASK 1
