2023-03-11 10:00:36.407882 [INFO   ] [APP] application started
2023-03-11 10:00:36.408539 [INFO   ] [APP] loading configuration from 'pairs-simple-both-sides.json'
2023-03-11 10:00:36.408903 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-11 10:00:36.409272 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-11 10:00:36.409297 [INFO   ] [BASE] logging in with teamname='pairs-simple-both-sides' and secret='secret'
2023-03-11 10:00:41.265984 [INFO   ] [AUTO] Trade tick: 0
2023-03-11 10:00:41.460182 [INFO   ] [AUTO] Trade tick: 1
2023-03-11 10:00:42.519288 [INFO   ] [AUTO] Trade tick: 2
2023-03-11 10:00:42.613684 [INFO   ] [AUTO] Trade tick: 3
2023-03-11 10:00:42.963205 [INFO   ] [AUTO] Trade tick: 4
2023-03-11 10:00:43.865221 [INFO   ] [AUTO] Trade tick: 5
2023-03-11 10:00:44.104032 [INFO   ] [AUTO] Trade tick: 6
2023-03-11 10:00:44.955288 [INFO   ] [AUTO] Trade tick: 7
2023-03-11 10:00:45.661830 [INFO   ] [AUTO] Trade tick: 8
2023-03-11 10:00:46.516740 [INFO   ] [AUTO] Trade tick: 9
2023-03-11 10:00:46.686677 [INFO   ] [AUTO] Pairwise opportunity, ETF > FUT => buy futures, sell ETF
2023-03-11 10:00:46.686685 [INFO   ] [AUTO] Sell vol: 84 order: 1
2023-03-11 10:00:46.687608 [INFO   ] [AUTO] order 1 filled for 84 lots at $147000 cents
2023-03-11 10:00:46.687641 [INFO   ] [AUTO] Trade tick: 10
2023-03-11 10:00:46.687727 [INFO   ] [AUTO] hedge order 2 filled for 84 lots at $146700 average price in cents
2023-03-11 10:00:46.967409 [INFO   ] [AUTO] Pairwise opportunity, ETF > FUT => buy futures, sell ETF
2023-03-11 10:00:46.967415 [INFO   ] [AUTO] Sell vol: 14 order: 3
2023-03-11 10:00:46.967595 [INFO   ] [AUTO] order 3 filled for 14 lots at $147000 cents
2023-03-11 10:00:46.967621 [INFO   ] [AUTO] Trade tick: 11
2023-03-11 10:00:46.967685 [INFO   ] [AUTO] hedge order 4 filled for 14 lots at $146700 average price in cents
2023-03-11 10:00:47.057312 [INFO   ] [AUTO] Trade tick: 12
2023-03-11 10:00:47.104242 [INFO   ] [AUTO] Trade tick: 13
2023-03-11 10:00:47.408584 [INFO   ] [AUTO] Trade tick: 14
2023-03-11 10:00:48.610315 [INFO   ] [AUTO] Trade tick: 15
2023-03-11 10:00:49.357019 [INFO   ] [AUTO] Trade tick: 16
2023-03-11 10:00:49.466865 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:00:49.466870 [INFO   ] [AUTO] Buy vol: 129 order: 5
2023-03-11 10:00:49.467115 [INFO   ] [AUTO] Trade tick: 17
2023-03-11 10:00:49.467120 [INFO   ] [AUTO] order 5 filled for 129 lots at $146400 cents
2023-03-11 10:00:49.467213 [INFO   ] [AUTO] hedge order 6 filled for 129 lots at $146700 average price in cents
2023-03-11 10:00:50.969473 [INFO   ] [AUTO] Trade tick: 18
2023-03-11 10:00:51.122441 [INFO   ] [AUTO] Trade tick: 19
2023-03-11 10:00:51.122461 [INFO   ] [AUTO] Trade tick: 20
2023-03-11 10:00:51.264575 [INFO   ] [AUTO] Trade tick: 21
2023-03-11 10:00:52.104182 [INFO   ] [AUTO] Trade tick: 22
2023-03-11 10:00:52.214777 [INFO   ] [AUTO] Trade tick: 23
2023-03-11 10:00:53.616232 [INFO   ] [AUTO] Trade tick: 24
2023-03-11 10:00:54.656929 [INFO   ] [AUTO] Trade tick: 25
2023-03-11 10:00:54.686575 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:00:54.686584 [INFO   ] [AUTO] Buy vol: 69 order: 7
2023-03-11 10:00:54.686942 [INFO   ] [AUTO] order 7 filled for 69 lots at $147000 cents
2023-03-11 10:00:54.687108 [INFO   ] [AUTO] Trade tick: 26
2023-03-11 10:00:54.687168 [INFO   ] [AUTO] hedge order 8 filled for 69 lots at $147000 average price in cents
2023-03-11 10:00:55.820477 [INFO   ] [AUTO] Trade tick: 27
2023-03-11 10:00:55.920869 [INFO   ] [AUTO] Trade tick: 28
2023-03-11 10:00:56.270869 [INFO   ] [AUTO] Trade tick: 29
2023-03-11 10:00:56.270889 [INFO   ] [AUTO] Trade tick: 30
2023-03-11 10:00:56.415234 [INFO   ] [AUTO] Trade tick: 31
2023-03-11 10:00:57.365092 [INFO   ] [AUTO] Trade tick: 32
2023-03-11 10:00:57.985934 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:00:58.239337 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:00:58.418859 [INFO   ] [AUTO] Trade tick: 33
2023-03-11 10:00:58.453446 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:00:58.740280 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:00:58.860390 [INFO   ] [AUTO] Trade tick: 34
2023-03-11 10:00:59.218189 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:00:59.489881 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:00:59.902305 [INFO   ] [AUTO] Trade tick: 35
2023-03-11 10:00:59.949570 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:01:00.237047 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:01:00.444437 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:01:00.464662 [INFO   ] [AUTO] Trade tick: 36
2023-03-11 10:01:00.684342 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
2023-03-11 10:01:00.771518 [INFO   ] [AUTO] Trade tick: 37
2023-03-11 10:01:00.871283 [INFO   ] [AUTO] Trade tick: 38
2023-03-11 10:01:00.908010 [INFO   ] [AUTO] Trade tick: 39
2023-03-11 10:01:00.998018 [INFO   ] [AUTO] Pairwise opportunity, FUT > ETF => buy ETF, sell futures
